stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
TEC:Bbchmin1,Braine-le-Chateau Les Minous,50.670056,4.276799,0,stoparea:TEC:Bbchmin,,1,,
TEC:Bbchmin2,Braine-le-Chateau Les Minous,50.669598,4.277126,0,stoparea:TEC:Bbchmin,,1,,
TEC:Bbchndb1,Braine-le-Chateau Rue Notre Dame au Bois,50.680489,4.261116,0,stoparea:TEC:Bbchndb,,1,,
TEC:Bbchndb2,Braine-le-Chateau Rue Notre Dame au Bois,50.680291,4.260579,0,stoparea:TEC:Bbchndb,,1,,
TEC:Bbchpil1,Braine-le-Chateau Pilori,50.682473,4.267507,0,stoparea:TEC:Bbchpil,,1,,
TEC:Bbchpil2,Braine-le-Chateau Pilori,50.681806,4.265924,0,stoparea:TEC:Bbchpil,,1,,
TEC:Bbchrra2,Braine-le-Chateau Rue des Radoux,50.683945,4.276475,0,stoparea:TEC:Bbchrra,,1,,
TEC:Bbchrra3,Braine-le-Chateau Rue des Radoux,50.684008,4.276079,0,stoparea:TEC:Bbchrra,,1,,
TEC:Bbchsac1,Braine-le-Chateau Rue du Sacrement,50.669364,4.304202,0,stoparea:TEC:Bbchsac,,1,,
TEC:Bbchtry1,Wauthier-Braine Rue du Try,50.681803,4.297605,0,stoparea:TEC:Bbchtry,,1,,
TEC:Bbchume1,Braine-le-Chateau Usines Meurice,50.680357,4.245821,0,stoparea:TEC:Bbchume,,1,,
TEC:Bbchume2,Braine-le-Chateau Usines Meurice,50.680295,4.246628,0,stoparea:TEC:Bbchume,,1,,
TEC:Bbcoben1,Braine-le-Comte Barrière d'Enghien,50.617573,4.139044,0,stoparea:TEC:Bbcoben,,1,,
TEC:Bbcoben2,Braine-le-Comte Barrière d'Enghien,50.61795,4.138957,0,stoparea:TEC:Bbcoben,,1,,
TEC:Bbcocou1,Braine-le-Comte Coulette,50.611894,4.140696,0,stoparea:TEC:Bbcocou,,1,,
TEC:Bbcocou2,Braine-le-Comte Coulette,50.612119,4.140582,0,stoparea:TEC:Bbcocou,,1,,
TEC:Bbcocvb1,Braine-le-Comte Clos du Vert Bois,50.605281,4.178051,0,stoparea:TEC:Bbcocvb,,1,,
TEC:Bbcocvb2,Braine-le-Comte Clos du Vert Bois,50.604859,4.178448,0,stoparea:TEC:Bbcocvb,,1,,
TEC:Bbcodam3,Braine-le-Comte Chemin des Dames,50.608137,4.155534,0,stoparea:TEC:Bbcodam,,1,,
TEC:Bbcodam4,Braine-le-Comte Chemin des Dames,50.607812,4.154561,0,stoparea:TEC:Bbcodam,,1,,
TEC:Bbcoeca1,Braine-le-Comte Route d'Ecaussinnes,50.603453,4.131908,0,stoparea:TEC:Bbcoeca,,1,,
TEC:Bbcoeco1,Braine-le-Comte Ecoles,50.607438,4.133343,0,stoparea:TEC:Bbcoeco,,1,,
TEC:Bbcoeco2,Braine-le-Comte Ecoles,50.60751,4.133145,0,stoparea:TEC:Bbcoeco,,1,,
TEC:Bbcogar1,Braine-le-Comte Gare,50.605487,4.13752,0,stoparea:TEC:Bbcogar,,1,,
TEC:Bbcogar2,Braine-le-Comte Gare,50.60555,4.137576,0,stoparea:TEC:Bbcogar,,1,,
TEC:Bbcogpl1,Braine-le-Comte Place,50.610995,4.135826,0,stoparea:TEC:Bbcogpl,,1,,
TEC:Bbcogpl2,Braine-le-Comte Place,50.610256,4.135208,0,stoparea:TEC:Bbcogpl,,1,,
TEC:Bbcohou3,Braine-le-Comte Houssière,50.609701,4.165389,0,stoparea:TEC:Bbcohou,,1,,
TEC:Bbcohou4,Braine-le-Comte Houssière,50.609576,4.165813,0,stoparea:TEC:Bbcohou,,1,,
TEC:Bbcolno1,Braine-le-Comte Lion Noir,50.61461,4.136769,0,stoparea:TEC:Bbcolno,,1,,
TEC:Bbcolno2,Braine-le-Comte Lion Noir,50.614349,4.136445,0,stoparea:TEC:Bbcolno,,1,,
TEC:Bbcomar1,Braine-le-Comte Marouset,50.609397,4.171578,0,stoparea:TEC:Bbcomar,,1,,
TEC:Bbcomar2,Braine-le-Comte Marouset,50.609271,4.171578,0,stoparea:TEC:Bbcomar,,1,,
TEC:Bbcopre1,Braine-le-Comte Prestremont,50.62265,4.142481,0,stoparea:TEC:Bbcopre,,1,,
TEC:Bbcopre2,Braine-le-Comte Prestremont,50.622658,4.142128,0,stoparea:TEC:Bbcopre,,1,,
TEC:Bbcoroy1,Braine-le-Comte Chemin Royal,50.626692,4.145232,0,stoparea:TEC:Bbcoroy,,1,,
TEC:Bbcoroy2,Braine-le-Comte Chemin Royal,50.626691,4.144893,0,stoparea:TEC:Bbcoroy,,1,,
TEC:Bbcoser1,Braine-le-Comte Rue de Serbie,50.605604,4.132985,0,stoparea:TEC:Bbcoser,,1,,
TEC:Bbcoser2,Braine-le-Comte Rue de Serbie,50.605514,4.132943,0,stoparea:TEC:Bbcoser,,1,,
TEC:Bbcoubo2,Braine-le-Comte Bourleau,50.606946,4.143348,0,stoparea:TEC:Bbcoubo,,1,,
TEC:Bbcoubo3,Braine-le-Comte Bourleau,50.607144,4.143389,0,stoparea:TEC:Bbcoubo,,1,,
TEC:Bbea3he1,Beauvechain Rue des 3 Héros,50.761464,4.817562,0,stoparea:TEC:Bbea3he,,1,,
