service_id,date,exception_type
6074:TEC:BW:53,20180803,1
6074:TEC:BW:53,20180806,1
6074:TEC:BW:53,20180807,1
6074:TEC:BW:53,20180808,1
6074:TEC:BW:53,20180809,1
6074:TEC:BW:53,20180810,1
6074:TEC:BW:53,20180813,1
6074:TEC:BW:53,20180814,1
6074:TEC:BW:53,20180816,1
6074:TEC:BW:53,20180817,1
6074:TEC:BW:53,20180820,1
6074:TEC:BW:53,20180821,1
6074:TEC:BW:53,20180822,1
6074:TEC:BW:53,20180823,1
6074:TEC:BW:53,20180824,1
6074:TEC:BW:44,20180528,1
6074:TEC:BW:44,20180529,1
6074:TEC:BW:44,20180530,1
6074:TEC:BW:44,20180531,1
6074:TEC:BW:44,20180601,1
6074:TEC:BW:44,20180604,1
6074:TEC:BW:44,20180605,1
6074:TEC:BW:44,20180606,1
6074:TEC:BW:44,20180607,1
6074:TEC:BW:44,20180608,1
6074:TEC:BW:44,20180611,1
6074:TEC:BW:44,20180612,1
6074:TEC:BW:44,20180613,1
6074:TEC:BW:44,20180614,1
6074:TEC:BW:44,20180615,1
6074:TEC:BW:44,20180618,1
6074:TEC:BW:44,20180619,1
6074:TEC:BW:44,20180620,1
6074:TEC:BW:44,20180621,1
6074:TEC:BW:44,20180622,1
6074:TEC:BW:44,20180625,1
6074:TEC:BW:44,20180626,1
6074:TEC:BW:44,20180627,1
6074:TEC:BW:44,20180628,1
6074:TEC:BW:44,20180629,1
6074:TEC:BW:45,20180528,1
6074:TEC:BW:45,20180604,1
6074:TEC:BW:45,20180611,1
6074:TEC:BW:45,20180618,1
6074:TEC:BW:45,20180625,1
6074:TEC:BW:42,20180601,1
6074:TEC:BW:42,20180608,1
6074:TEC:BW:42,20180615,1
6074:TEC:BW:42,20180622,1
6074:TEC:BW:42,20180629,1
6074:TEC:BW:52,20180703,1
6074:TEC:BW:52,20180704,1
6074:TEC:BW:52,20180705,1
6074:TEC:BW:52,20180706,1
6074:TEC:BW:52,20180710,1
6074:TEC:BW:52,20180711,1
6074:TEC:BW:52,20180712,1
6074:TEC:BW:52,20180713,1
6074:TEC:BW:52,20180717,1
6074:TEC:BW:52,20180718,1
6074:TEC:BW:52,20180719,1
6074:TEC:BW:52,20180720,1
6074:TEC:BW:52,20180724,1
6074:TEC:BW:52,20180725,1
6074:TEC:BW:52,20180726,1
6074:TEC:BW:52,20180727,1
6074:TEC:BW:52,20180731,1
6074:TEC:BW:52,20180801,1
6074:TEC:BW:52,20180802,1
6074:TEC:BW:52,20180803,1
6074:TEC:BW:52,20180807,1
6074:TEC:BW:52,20180808,1
6074:TEC:BW:52,20180809,1
6074:TEC:BW:52,20180810,1
6074:TEC:BW:52,20180814,1
6074:TEC:BW:52,20180816,1
6074:TEC:BW:52,20180817,1
6074:TEC:BW:52,20180821,1
6074:TEC:BW:52,20180822,1
6074:TEC:BW:52,20180823,1
6074:TEC:BW:52,20180824,1
6074:TEC:BW:40,20180702,1
6074:TEC:BW:40,20180703,1
6074:TEC:BW:40,20180705,1
6074:TEC:BW:40,20180706,1
6074:TEC:BW:40,20180709,1
6074:TEC:BW:40,20180710,1
6074:TEC:BW:40,20180712,1
6074:TEC:BW:40,20180713,1
6074:TEC:BW:40,20180716,1
6074:TEC:BW:40,20180717,1
6074:TEC:BW:40,20180719,1
6074:TEC:BW:40,20180720,1
6074:TEC:BW:40,20180723,1
6074:TEC:BW:40,20180724,1
6074:TEC:BW:40,20180726,1
6074:TEC:BW:40,20180727,1
6074:TEC:BW:40,20180730,1
6074:TEC:BW:40,20180731,1
6074:TEC:BW:40,20180802,1
6074:TEC:BW:40,20180803,1
6074:TEC:BW:40,20180806,1
6074:TEC:BW:40,20180807,1
6074:TEC:BW:40,20180809,1
6074:TEC:BW:40,20180810,1
6074:TEC:BW:40,20180813,1
6074:TEC:BW:40,20180814,1
6074:TEC:BW:40,20180816,1
6074:TEC:BW:40,20180817,1
6074:TEC:BW:40,20180820,1
6074:TEC:BW:40,20180821,1
6074:TEC:BW:40,20180823,1
6074:TEC:BW:40,20180824,1
